NULL,201819,41311,256420
NULL,201920,35790,240890
100,201819,2807,11651
100,201920,2991,16769
101,201819,4411,15475
101,201920,4105,18597
102,201819,3329,32931
102,201920,3685,48306
103,201819,277,793
103,201920,259,781
104,201819,813,6068
104,201920,1132,21251
105,201819,285,1232
105,201920,212,865
106,201819,121,258
106,201920,137,333
107,201819,242,603
107,201920,227,1293
108,201819,35,55
108,201920,41,75
110,201819,1095,2251
110,201920,1679,7965
120,201819,378,829
120,201920,452,1367
130,201819,5912,24811
130,201920,15533,155233
140,201819,308,531
140,201920,447,1084
141,201920,NULL,8
142,201819,NULL,10
142,201920,9,120
143,201819,NULL,NULL
143,201920,NULL,NULL
144,201819,87,183
144,201920,89,225
145,201819,NULL,NULL
145,201920,7,10
150,201819,398,1629
150,201920,243,755
160,201819,607,841
160,201920,429,1155
161,201819,NULL,17
170,201819,259,465
170,201920,221,510
171,201819,275,1342
171,201920,279,2755
172,201819,503,925
172,201920,513,1460
173,201819,146,501
173,201920,106,500
174,201819,956,9495
174,201920,1187,13186
180,201819,1275,2147
180,201920,1458,4160
190,201819,432,834
190,201920,433,884
191,201819,198,529
191,201920,476,1892
192,201819,1104,3557
192,201920,1267,5337
211,201819,25,49
211,201920,19,79
212,201819,6,37
212,201920,NULL,NULL
213,201920,NULL,NULL
214,201819,129,182
214,201920,153,458
215,201819,45,100
215,201920,37,230
216,201819,68,129
216,201920,49,97
217,201819,13,48
218,201819,39,230
218,201920,38,355
219,201819,18,34
219,201920,23,67
220,201819,NULL,NULL
220,201920,NULL,21
221,201819,21,168
221,201920,29,286
222,201819,24,168
222,201920,39,242
223,201819,NULL,NULL
241,201819,NULL,NULL
242,201819,257,976
242,201920,278,1420
250,201819,13,21
251,201819,1002,10022
251,201920,1279,15401
252,201819,218,1075
252,201920,326,6447
253,201819,888,13324
253,201920,1135,27849
254,201819,8,12
255,201819,313,3724
255,201920,269,3557
256,201819,280,1306
256,201920,258,1341
257,201819,49,169
257,201920,60,641
258,201819,1145,4810
258,201920,672,5766
259,201819,385,3851
259,201920,520,10710
260,201819,1491,30513
260,201920,1559,37814
261,201819,530,5278
261,201920,404,7453
262,201819,1176,7427
262,201920,1436,16669
263,201819,15,59
263,201920,17,91
264,201819,582,3638
264,201920,657,4615
270,201819,NULL,NULL
280,201819,31,171
280,201920,NULL,NULL
290,201819,11,22
290,201920,734,5476
291,201819,102,133
291,201920,79,133
300,201819,12577,71247
300,201920,12001,70042
301,201819,8895,56983
301,201920,13621,142945
302,201819,1696,9624
302,201920,2211,17797
303,201819,39996,490185
303,201920,44737,606953
304,201819,67,238
304,201920,86,302
305,201819,3637,5366
305,201920,3559,11452
306,201819,4234,18119
306,201920,4612,25426
307,201819,407,1210
307,201920,1091,9404
308,201819,279,3414
308,201920,430,8143
309,201819,1759,13824
309,201920,1872,16745
310,201819,NULL,NULL
310,201920,NULL,8
311,201819,163,2414
311,201920,182,2209
313,201819,988,21824
313,201920,966,26017
314,201819,64,256
314,201920,71,280
315,201819,173,1024
315,201920,86,220
316,201819,1706,14970
316,201920,1443,18365
317,201819,101,373
317,201920,154,1980
318,201819,8,11
318,201920,8,10
319,201819,NULL,NULL
320,201819,2402,12856
320,201920,2214,12969
321,201819,373,4129
321,201920,451,7086
322,201819,231,2129
322,201920,275,2349
323,201819,8,42
323,201920,1627,6748
324,201819,18,26
324,201920,14,29
326,201819,44,86
326,201920,246,2239
327,201920,NULL,25
328,201819,202,491
328,201920,209,1485
329,201819,6,20
329,201920,8,25
330,201819,4601,12844
330,201920,7547,56712
340,201819,8519,75148
340,201920,9460,97615
341,201819,78,278
341,201920,159,927
343,201819,1481,10480
343,201920,1574,15410
344,201819,50,140
344,201920,46,73
345,201819,NULL,NULL
345,201920,NULL,17
346,201920,NULL,NULL
350,201819,6830,30716
350,201920,6964,30505
352,201920,NULL,NULL
360,201819,1112,4671
360,201920,896,4147
361,201819,22580,219420
361,201920,23846,335606
370,201819,51957,686086
370,201920,57784,833340
371,201819,95,288
371,201920,197,660
400,201819,15792,136266
400,201920,18221,176067
401,201819,36,157
401,201920,103,628
410,201819,8204,43697
410,201920,18905,258441
420,201819,4435,25764
420,201920,5232,44762
421,201819,256,1641
421,201920,413,7969
422,201819,1180,3538
422,201920,604,6477
424,201819,16,22
424,201920,NULL,NULL
430,201819,1304,3037
430,201920,1352,6319
450,201819,150,241
450,201920,160,237
460,201819,301,1437
460,201920,2451,13530
500,201819,NULL,31
500,201920,NULL,22
501,201819,1185,1945
501,201920,1894,13764
502,201819,666,3080
502,201920,1368,9506
503,201819,75,181
503,201920,62,188
560,201819,41,125
560,201920,61,804
600,201920,NULL,NULL
650,201819,86,231
650,201920,82,421
651,201819,9,26
651,201920,NULL,6
652,201819,NULL,NULL
652,201920,NULL,NULL
653,201819,NULL,9
654,201819,229,6513
654,201920,305,6752
655,201819,NULL,6
655,201920,8,17
656,201819,NULL,NULL
656,201920,NULL,12
657,201920,NULL,11
658,201819,75,215
658,201920,111,407
662,201920,41,90
710,201819,6,19
710,201920,6,16
711,201819,143,223
711,201920,7,272
713,201819,24,53
713,201920,NULL,8
722,201920,NULL,NULL
800,201819,27626,311939
800,201920,27199,343291
810,201819,28,69
810,201920,27,89
811,201819,76,148
811,201920,71,140
812,201819,569,7815
812,201920,443,4488
820,201819,504,1601
820,201920,525,6337
821,201819,69,136
821,201920,27,92
822,201819,298,816
822,201920,548,5993
823,201819,912,8549
823,201920,698,11295
824,201819,NULL,NULL
824,201920,NULL,6
830,201819,93,482
830,201920,43,581
831,201819,NULL,19
831,201920,NULL,22
834,201819,847,3671
834,201920,922,3301
840,201819,12,24
840,201920,13,41
900,201819,19,109
900,201920,29,140
901,201819,NULL,NULL
901,201920,NULL,NULL
902,201819,26,47
902,201920,19,26
903,201819,41,479
903,201920,43,357
950,201819,8,9
